[15, -80, -25, 30, 0, 0, 0, 119.0, -553.0, -82.0, -119.0, 371.0, 82.0, 398.0, 0]
[15, -80, -15, 30, 0, 0, 0, 120.0, -556.0, -64.0, -120.0, 374.0, 64.0, 398.0, 0]
[15, -80, -10, 30, 0, 0, 0, 120.0, -558.0, -55.0, -120.0, 376.0, 55.0, 398.0, 0]
[15, -80, -5, 30, 0, 0, 0, 119.0, -559.0, -47.0, -119.0, 377.0, 47.0, 398.0, 0]
[15, -80, 0, 30, 0, 0, 0, 117.0, -561.0, -38.0, -117.0, 379.0, 38.0, 398.0, 0]
[15, -80, 10, 30, 0, 0, 0, 111.0, -564.0, -21.0, -111.0, 382.0, 21.0, 398.0, 0]
[15, -80, 20, 30, 0, 0, 0, 102.0, -567.0, -6.0, -102.0, 385.0, 6.0, 398.0, 0]
[15, -80, 30, 30, 0, 0, 0, 90.0, -570.0, 8.0, -90.0, 388.0, -8.0, 398.0, 0]
[15, -80, 35, 30, 0, 0, 0, 84.0, -571.0, 13.0, -84.0, 389.0, -13.0, 398.0, 0]
[15, -85, -45, 30, 0, 0, 0, 98.0, -559.0, -84.0, -98.0, 377.0, 84.0, 398.0, 0]
[15, -85, -35, 30, 0, 0, 0, 105.0, -560.0, -67.0, -105.0, 378.0, 67.0, 398.0, 0]
[25, -60, -40, 30, 0, 0, 0, 177.0, -482.0, -193.0, -177.0, 300.0, 193.0, 398.0, 0]
[25, -60, -35, 30, 0, 0, 0, 179.0, -486.0, -185.0, -179.0, 304.0, 185.0, 398.0, 0]
[25, -60, -15, 30, 0, 0, 0, 181.0, -502.0, -153.0, -181.0, 320.0, 153.0, 398.0, 0]
[25, -60, -10, 30, 0, 0, 0, 180.0, -506.0, -146.0, -180.0, 324.0, 146.0, 398.0, 0]
[25, -60, 0, 30, 0, 0, 0, 175.0, -515.0, -131.0, -175.0, 333.0, 131.0, 398.0, 0]
[25, -60, 10, 30, 0, 0, 0, 167.0, -524.0, -118.0, -167.0, 342.0, 118.0, 398.0, 0]
[25, -60, 20, 30, 0, 0, 0, 156.0, -533.0, -106.0, -156.0, 351.0, 106.0, 398.0, 0]
[25, -60, 25, 30, 0, 0, 0, 150.0, -537.0, -101.0, -150.0, 355.0, 101.0, 398.0, 0]
[25, -60, 30, 30, 0, 0, 0, 143.0, -541.0, -96.0, -143.0, 359.0, 96.0, 398.0, 0]
[25, -60, 35, 30, 0, 0, 0, 136.0, -545.0, -92.0, -136.0, 363.0, 92.0, 398.0, 0]
[25, -60, 40, 30, 0, 0, 0, 129.0, -548.0, -89.0, -129.0, 366.0, 89.0, 398.0, 0]
[25, -65, -45, 30, 0, 0, 0, 163.0, -500.0, -176.0, -163.0, 318.0, 176.0, 398.0, 0]
[25, -65, -35, 30, 0, 0, 0, 168.0, -506.0, -160.0, -168.0, 324.0, 160.0, 398.0, 0]
[25, -65, -30, 30, 0, 0, 0, 169.0, -509.0, -152.0, -169.0, 327.0, 152.0, 398.0, 0]
[25, -65, -25, 30, 0, 0, 0, 170.0, -512.0, -144.0, -170.0, 330.0, 144.0, 398.0, 0]
